"页码","微博id","微博作者","发布时间","点赞数","评论数","转发数","微博内容"
55,4945471573069942,"天才小熊猫","2023-09-13 11:29:28",52001,3147,6902,"帮 总结 一下 昨晚 苹果 发布会 主要 内容 苹果 新品 发布会 苹果 发布会 亮点 回顾 iphone"
45,4948775992820459,"追风少女恬不二","2023-09-22 14:20:03",15413,2434,2252,"外卖 不敢 放 门口 外卖 进化 进步 送到 门口 提前 小区 门口 饿 小哥 话 说 饿 今天 这波 操作 大气层 直接 没 抢 首发 一个 surprise 饿 app 搜索 新机 发售 现货 配送 速度 杠杠 游戏 功夫 快乐 开箱 想买 iPhone15 全文"
1,4947789735264452,"凰家评测","2023-09-19 21:01:00",8965,1370,1941,"iPhone15 Pro 该选 iPhone 15 Pro 系列 评测 拍照 不再 锐 长焦 不再 废 鬼影 丨 凰 家 评测 iPhone15 评测 苹果 新 发布 旗舰 手机 iPhone 15 Pro iPhone 15 Pro Max 带来 不少 问题 取代 静音 拨片 操作 按钮 好不好 换装 C 口后 充电 有没有 更 便捷 影像 表现 A17 Pro 真能 跑 A 游戏 全文"
1,4947789483868268,"迪仔Dizzz","2023-09-19 21:00:00",8553,5723,8454,"iPhone 15 系列 体验 新 配色 拍人 更好 分享 iPhone 15 从里到外 细节 感受 新 粉色 实物 翻车 几天 朝夕相处 颜色 看起来 一点 不腻 肉眼 灵动 岛 新 接口 影像 升级 入手 iPhone 15 最大 亮点 iPhone 15 iPhone15 评测 全文"
75,4583819200432496,"手机中国","2020-12-19 12:12:03",6616,2333,5959,"iPhone 12 系列 体验 官 记得 去年 iPhone 11 体验 官吗 体验 iPhone 11 活动 一次 邀请 11 位安卓 用户 深度 体验 iPhone 今年 CNMO 打算 玩点 今天 全网 招募 iPhone 12 系列 体验 官 没错 iPhone 12 全系 产品 都有 一个 喜欢 创作 能够 视频 讲述 全文"
1,4949891689219955,"萌叔小熊猫","2023-09-25 16:13:26",6285,753,626,"第一 时间 拿到 iPhone 2023 版 依然 年 年 换 新 特殊 通道 今年 这事 忘 预约 晚 第二天 拿到 顺手 手表 升级 Ultra 方面 代了 确实 可换 可不 换 升级 不大 强迫症 这种 重度 依赖 手表 选择 更 流畅 更亮 多出 24 小时 续航 有点 优势 手机 方面 只能 说 iPh 全文"
1,4947789484658121,"Derrick_Zhang_","2023-09-19 21:00:01",5921,4528,9040,"首发 iPhone 15 系列 实拍 样片 一年 一年 展现 iPhone 系列 影像 能力 过去 48 小时 使用 iPhone 15 系列 紧密 完成 一部 短片 拍摄 永不 熄灭 火焰 短片 描述 彝族 大自然 观察 世界 理解 塑造出 独特 彝族 美学 美的 理解 经由 彝族 匠人 代代传 承 延 全文"
75,4559781530435807,"Apple支持","2020-10-14 04:14:56",5554,1176,457,"四款 G 新 iPhone 来啦 多款 MagSafe 磁吸 配件 动静 不小 HomePod mini 错过 有料 发布会 帮 整理 点 开速看 苹果 发布会"
1,4950695967987827,"是Harvey","2023-09-27 21:29:21",5514,259,5030,"一大早 顺丰 电话 叫醒 终于 拿到 iPhone 15 Pro Max 两年 一直 华为 P50 Pro Mate 60 心动 为啥 最后 抢 果子 主要 原因 工作 需要 用到 Mac 我用 FCP 剪辑 六年 太熟 真 离不开 剪辑 软件 平时 华为 拍 照片 视频 回来 传输 要用 数据线 连接 电脑 打开 一个 全文"
52,4948774730335388,"小新测评","2023-09-22 14:15:02",5276,1591,1583,"外卖 不敢 放 门口 前 一秒 世界 一个 乐子 一秒 饿 iPhone15 现货 没错 马上 打开 饿 搜索 新机 发售 进入 Apple 授权 店 赶紧 试试 手气 不行 天 14 天 预约 发货 这不比 网购 平台 送 快 毕竟 蓝 骑士 半小时 送到 买 iPhone 15 饿"
55,4945433442123893,"李铁柱之冠","2023-09-13 08:57:56",4615,884,74,"今年 iPhone15 系列 发布会 感觉 特别 诡异 第一 今年 苹果 热 搜 好像 没买 头条 微 博 抖 音 百度 Huawei 排名 苹果 前面 提到 苹果 阴阳怪气 十分 清奇 角度 看待 发布会 第二 说 苹果 大约 统计 一下 基本上 以唱衰 为主 提到 苹果 提 Huawei 想 夸 全文"
52,4948774729811161,"科技评测青年","2023-09-22 14:15:02",4369,1409,1612,"外卖 不敢 放 门口 是谁 知道 埋头 干饭 知道 今天 饿 直接 买 iPhone15 现货 Apple 授权 店 早就 上线 饿 平时 买 数码 配件 不少 iPhone15 现货 搜索 新机 发售 直接 下单 最快 30 分钟 送达 手慢 朋友 买 iPhone 15 饿"
66,4929857856997290,"IT互联网那点事","2023-08-01 09:26:08",4323,291,33,"iPhone ePhone 手机 长年 静音 加 震动 每次 电话 听力 寻找 手机"
17,4949178637354195,"Derrick_Zhang_","2023-09-23 17:00:01",3841,753,2069,"iPhone 15 系列 影像 评测 今年 iPhone 15 首发 视频 深入 四川 凉山 48 小时 完成 拍摄 iPhone 12 系列 第一次 首发 评测 时间推移 iPhone 影像 认知 有着 些许 变化 这种 变化 今年 iPhone 15 系列 获得 一种 最为 真切 体现 一期 影像 评测 将会 三个 方 全文"
